Turnamen Name,Team,Game,Net total,Net Mean,Net Min,Net Max,XPM Total,XPM Max,XPM Min,XPM Mean,GPM Total,GPM Max,GPM Min,GPM Mean,Game Time,Label
The International 2022,Hokori,GroupStageDay1.1C_Game1,81500,16300,5200,28900,2508,713,286,501.6,2234,707,248,446.8,44,LOSE
The International 2022,PSG.LGD,GroupStageDay1.1C_Game1,100400,20080,7900,40200,2905,801,398,581,2478,868,280,495.6,44,WIN
The International 2022,Hokori,GroupStageDay1.1C_Game2,77700,15540,5600,24600,2983,851,411,596.6,2279,725,255,455.8,36,WIN
The International 2022,PSG.LGD,GroupStageDay1.1C_Game2,58600,11720,4300,18500,2183,738,258,436.6,1857,563,180,371.4,36,LOSE
The International 2022,Beastcoast,GroupStageDay1.2C_Game1,44300,8860,4200,14800,1834,505,264,366.8,1666,536,211,333.2,31,LOSE
The International 2022,Entity,GroupStageDay1.2C_Game1,64300,12860,6800,19000,3233,935,438,646.6,2372,669,298,474.4,31,WIN
The International 2022,Beastcoast,GroupStageDay1.2C_Game2,62500,12500,6200,21300,3211,912,450,642.2,2523,832,261,504.6,28,WIN
The International 2022,Entity,GroupStageDay1.2C_Game2,43300,8660,2800,12900,2034,638,225,406.8,1784,536,174,356.8,28,LOSE
The International 2022,Hokori,GroupStageDay1.3C_Game1,71400,14280,6800,26000,2353,726,272,470.6,1944,624,199,388.8,44,LOSE
The International 2022,Boom Esport,GroupStageDay1.3C_Game1,104700,20940,9800,32300,3605,896,396,721,2628,825,312,525.6,44,WIN
The International 2022,Hokori,GroupStageDay1.3C_Game2,102200,20440,8300,30000,3261,824,439,652.2,2571,754,265,514.2,43,WIN
The International 2022,Boom Esport,GroupStageDay1.3C_Game2,65800,13160,3600,24400,2075,543,224,415,1871,621,199,374.2,43,LOSE
The International 2022,Secret,GroupStageDay1.4C_Game1,72300,14460,8600,21000,3077,741,276,615.4,2293,653,276,458.6,35,WIN
The International 2022,Beastcoast,GroupStageDay1.4C_Game1,61900,12380,6400,17900,2698,678,376,539.6,2148,565,266,429.6,35,LOSE
The International 2022,Secret,GroupStageDay1.4C_Game2,41300,8260,4400,12600,2761,669,306,552.2,2325,690,279,465,20,WIN
The International 2022,Beastcoast,GroupStageDay1.4C_Game2,26100,5220,3100,6900,1564,372,227,312.8,1430,350,183,286,20,LOSE
The International 2022,Liquid,GroupStageDay1.5C_Game1,71700,14340,9100,17700,3299,818,479,659.8,2537,616,358,507.4,32,WIN
The International 2022,BetBoom,GroupStageDay1.5C_Game1,45300,9060,5700,13000,1942,517,195,388.4,1763,450,243,352.6,32,LOSE
The International 2022,Liquid,GroupStageDay1.5C_Game2,56100,11220,5600,16700,2824,762,374,564.8,2257,634,262,451.4,27,WIN
